"period","item","value"
"80","Short.term.FX.liabilities.to.non.residents",42.6
"80","short.trem.liabilities.to.resident.komitet",2.8
"80","short.trem.liabilities.in.FX.to.domestic.banks",216.9
"80","other.short.trem.FX.liabilities",0
"80","Currency.in.circulation",116
"80","short.trem.sight.deposits",59.7
"80","short.trem.oroceni.deposits",0
"80","prorac.platn",15.7
"80","other",15.9
"80","short.term.giro.accounts.of.banks",20.7
"80","short.trem.novc.sred.reserves",9.4
"80","short.trem.required.reserves",51.2
"80","short.term.bank.deposits.other.izdvoj.sred",2.9
"80","short.trem.depos.banks.blagaj.zap",5
"80","long.term.liabilities.FX.to.non.residents",50.5
"80","long.term.FXD.liabilities.to.domestic.komitet",0.2
"80","long.term.oroc.deposits",8.3
"80","long.term.sred.housing",1.3
"80","other.long.term.liabilities",3.6
"80","funds.banks.posebni.reserv.fund",0.5
"80","bnk.funds.fund.osnovn.sred",2.2
"80","funds.banks.other",1.6
"81","Short.term.FX.liabilities.to.non.residents",26.9
"81","short.trem.liabilities.to.resident.komitet",10.3
"81","short.trem.liabilities.in.FX.to.domestic.banks",305.9
"81","other.short.trem.FX.liabilities",0
"81","Currency.in.circulation",148.9
"81","short.trem.sight.deposits",91.9
"81","short.trem.oroceni.deposits",0.7
"81","prorac.platn",2.6
"81","other",36.7
"81","short.term.giro.accounts.of.banks",31.4
"81","short.trem.novc.sred.reserves",13.7
"81","short.trem.required.reserves",61.8
"81","short.term.bank.deposits.other.izdvoj.sred",3.9
"81","short.trem.depos.banks.blagaj.zap",4.6
"81","long.term.liabilities.FX.to.non.residents",89.2
"81","long.term.FXD.liabilities.to.domestic.komitet",0
"81","long.term.oroc.deposits",12.9
"81","long.term.sred.housing",2.1
"81","other.long.term.liabilities",3.7
"81","funds.banks.posebni.reserv.fund",0.6
"81","bnk.funds.fund.osnovn.sred",2.7
"81","funds.banks.other",2
"82","Short.term.FX.liabilities.to.non.residents",23.3
"82","short.trem.liabilities.to.resident.komitet",16.7
"82","short.trem.liabilities.in.FX.to.domestic.banks",459.9
"82","other.short.trem.FX.liabilities",0.1
"82","Currency.in.circulation",195.6
"82","short.trem.sight.deposits",182.7
"82","short.trem.oroceni.deposits",0.1
"82","prorac.platn",22.6
"82","other",30.7
"82","short.term.giro.accounts.of.banks",50.1
"82","short.trem.novc.sred.reserves",16.4
"82","short.trem.required.reserves",72.7
"82","short.term.bank.deposits.other.izdvoj.sred",3.9
"82","short.trem.depos.banks.blagaj.zap",4.6
"82","long.term.liabilities.FX.to.non.residents",156.4
"82","long.term.FXD.liabilities.to.domestic.komitet",0
"82","long.term.oroc.deposits",16.5
"82","long.term.sred.housing",2.3
"82","other.long.term.liabilities",4.9
"82","funds.banks.posebni.reserv.fund",0.7
"82","bnk.funds.fund.osnovn.sred",3.4
"82","funds.banks.other",2.7
"83","Short.term.FX.liabilities.to.non.residents",38.7
"83","short.trem.liabilities.to.resident.komitet",32
"83","short.trem.liabilities.in.FX.to.domestic.banks",915.3
"83","other.short.trem.FX.liabilities",1
"83","Currency.in.circulation",248.8
"83","short.trem.sight.deposits",271
"83","short.trem.oroceni.deposits",0.6
"83","prorac.platn",26.2
"83","other",67.3
"83","short.term.giro.accounts.of.banks",39.3
"83","short.trem.novc.sred.reserves",18.1
"83","short.trem.required.reserves",98.6
"83","short.term.bank.deposits.other.izdvoj.sred",0.1
"83","short.trem.depos.banks.blagaj.zap",4.9
"83","long.term.liabilities.FX.to.non.residents",422.2
"83","long.term.FXD.liabilities.to.domestic.komitet",0
"83","long.term.oroc.deposits",20.2
"83","long.term.sred.housing",2.6
"83","other.long.term.liabilities",5.3
"83","funds.banks.posebni.reserv.fund",0.9
"83","bnk.funds.fund.osnovn.sred",4.1
"83","funds.banks.other",3.3
"84","Short.term.FX.liabilities.to.non.residents",149.8
"84","short.trem.liabilities.to.resident.komitet",37.4
"84","short.trem.liabilities.in.FX.to.domestic.banks",1424.9
"84","other.short.trem.FX.liabilities",0.8
"84","Currency.in.circulation",326.8
"84","short.trem.sight.deposits",438.4
"84","short.trem.oroceni.deposits",1.3
"84","prorac.platn",44.8
"84","other",133.5
"84","short.term.giro.accounts.of.banks",128.2
"84","short.trem.novc.sred.reserves",25.6
"84","short.trem.required.reserves",164
"84","short.term.bank.deposits.other.izdvoj.sred",0.1
"84","short.trem.depos.banks.blagaj.zap",9.6
"84","long.term.liabilities.FX.to.non.residents",722.3
"84","long.term.FXD.liabilities.to.domestic.komitet",0
"84","long.term.oroc.deposits",30.5
"84","long.term.sred.housing",3.2
"84","other.long.term.liabilities",5.8
"84","funds.banks.posebni.reserv.fund",1.3
"84","bnk.funds.fund.osnovn.sred",5.1
"84","funds.banks.other",4.1
